Title,Company,Location,Salary,Summary
Azure Data Engineer,Teamware Solutions,"Redmond, WA•Temporarily Remote",$50 - $70 an hour,Partner with leadership engineers program managers and data scientists to understand data needs.Gathering technical requirement from customer and enable the…
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States."
"Program Manager, Azure Networking",Nayamode,"Redmond, WA 98052 (Overlake area)",,"Understanding of azure product marketing principles.Understanding of cloud and networking technologies.Cross-team program management and reporting, ability to…"
Sr. Data Scientist Azure AI,WisEngineering,"Bellevue, WA",,"Candidate must be US CITIZEN or Green Card Holder.Strong experience with Data Management, Data Engineering (extract, transform, process) and Reporting."
Senior Data Analyst,Allied Universal,"Seattle, WA","$100,000 a year","We offer medical, dental and vision coverage, life insurance, 401K, employee assistance programs, company discounts, perks and more for all full-time positions!"
Azure Admin,HCL Americas,"Redmond, WA 98052 (Overlake area)•Temporarily Remote",,"Managing m365 admin center portal azure subscription, enforcing access control, creating and managing azure resources, azure cost optimization."
Data Scientist II,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,The Windows & Devices Connected Services & Experiences (W + D CSX) Data team is a team of highly skilled Data Scientists and Data Engineers focused on deriving…
Sr. Azure Incident Manager,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Microsoft Azure provides customers with on-demand and infinitely scalable infrastructure and platform for customers to build, host, and scale service…"
Azure Engineer,Enterprise Engineering Solutions,"Seattle, WA 98109 (East Queen Anne area)","$70,000 - $140,000 a year","Looking for Microsoft Azure Architect with 5+ years of “hands-on” experience designing, delivering, and sharing solutions.Job Types: Full-time, Contract."
Director of IT*,Bristol Companies,"Marysville, WA",,The Director of IT will be responsible for the overall management of our CMMC compliant IT infrastructure and the technical direction of the company.
Azure Data Engineering Quality Assurance,Intone Networks,"Seattle, WA",,"Key Responsibilities 3+ years of hands-on Quality Assurance experience Testing fundamentals Highly collaborative with cross-functional teams Writing test cases,…"
Social Community Manager - Remote,Designit,Washington State•Remote,,"This world-class social team operates 100+ social media channels and 20+ marketing blogs designed for developers, IT decision makers, IT implementers, and…"
Cloud Support Engineer,Kepion,"Seattle, WA 98121 (Belltown area)•Temporarily Remote","Up to $90,000 a year",Kepion is seeking an experienced Cloud Support Engineer who will be responsible for the day-to-day monitoring and development of security technologies and…
Cloud Intelligence Associate Specialist SA,"Amazon Web Services, Inc.","Seattle, WA","$112,300 - $160,000 a year","BA/BS degree or equivalent.Experience with Microsoft Azure, Google Cloud Platform, or Oracle.Demonstrate strong customer focus, ownership, and the ability…"
Azure Data Engineer,Teamware Solutions,"Redmond, WA•Temporarily Remote",$50 - $70 an hour,Partner with leadership engineers program managers and data scientists to understand data needs.Gathering technical requirement from customer and enable the…
Data Scientist (all levels),Shelf Engine,"Seattle, WA","$110,000 - $175,000 a year","We harness the power of AI to provide real-time, intelligent forecasting and fully automated ordering to food retailers across the United States."
"Program Manager, Azure Networking",Nayamode,"Redmond, WA 98052 (Overlake area)",,"Understanding of azure product marketing principles.Understanding of cloud and networking technologies.Cross-team program management and reporting, ability to…"
Sr. Data Scientist Azure AI,WisEngineering,"Bellevue, WA",,"Candidate must be US CITIZEN or Green Card Holder.Strong experience with Data Management, Data Engineering (extract, transform, process) and Reporting."
Senior Data Analyst,Allied Universal,"Seattle, WA","$100,000 a year","We offer medical, dental and vision coverage, life insurance, 401K, employee assistance programs, company discounts, perks and more for all full-time positions!"
Azure Admin,HCL Americas,"Redmond, WA 98052 (Overlake area)•Temporarily Remote",,"Managing m365 admin center portal azure subscription, enforcing access control, creating and managing azure resources, azure cost optimization."
Data Scientist II,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,The Windows & Devices Connected Services & Experiences (W + D CSX) Data team is a team of highly skilled Data Scientists and Data Engineers focused on deriving…
Sr. C# Azure NoSQL Developer - Remote,iconvergence,"Seattle, WA•Remote","$85,653 - $148,423 a year","4+ years’ of professional industry experience with C# software development deployed in large scale environments.Job Types: Full-time, Temporary, Contract."
IT Support Specialist,Santé Operations,"Silverdale, WA•Remote","From $50,000 a year","Respond to and monitor service requests within the IT Support ticketing system by providing a positive customer experience over the phone, video conferencing or…"
Sr. Systems/Network Administrator,"Darigold, Inc.","Sunnyside, WA 98944+1 location",,"Consistent with the objective defined in the Darigold Business Systems Plan, the Sr.Systems/Network Administrator will provide support and maintenance of the…"
Windows/Lab Administrator,"AMS DataSerfs, Inc","Redmond, WA 98052 (Overlake area)","$70,000 - $85,000 a year",_You will be working in a team that is responsible for maintaining a development environment for a fortune 50 company consisting of physical and virtual Windows…
IT Support Specialist,Encore Communities,"Silverdale, WA 98383","From $50,000 a year","The overall system responsibilities include desktop, server, and network administration within a Microsoft Windows environment."
IT Analyst for App hosting and Data Center Modernization - A...,Resource Logistic Inc,"Mountlake Terrace, WA",$45 - $50 an hour,* Act as a liaison between customers and technical delivery teams.* Work closely with product and development teams to better define key business needs and…
Entry Level Systems Administrator,The Department of Social and Health Services,"Steilacoom, WA 98388","$5,326 - $6,991 a month","In this role, you'll need to stay informed on computer forensics and multimedia digital evidence technology, and be able to transition forensic examination…"
Social Community Manager - Remote,Designit,Washington State•Remote,,"This world-class social team operates 100+ social media channels and 20+ marketing blogs designed for developers, IT decision makers, IT implementers, and…"
IT Systems Administrator,Sante Operations,Washington State,"From $80,000 a year","The IT Systems Administrator at Sante Operations will be responsible for ensuring the availability, performance and security of the systems utilized by Sante."
Global Customer Experience Specialist,Designit,"Redmond, WA",,Our new Global Customer Experience Specialist will play a role in helping our clients excel.Review and Triage customer and partner escalations via multiple…
Azure Data Engineer,Teamware Solutions,"Redmond, WA•Temporarily Remote",$50 - $70 an hour,Partner with leadership engineers program managers and data scientists to understand data needs.Gathering technical requirement from customer and enable the…
Tier 2 Service Desk Engineer,Nuvodia,Washington State•Remote,,"This is a Full-Time, Regular position working Monday - Friday, 8am-5pm.This position may have the opportunity to start remotely during the current pandemic.*."
Azure Admin,HCL Americas,"Redmond, WA 98052 (Overlake area)•Temporarily Remote",,"Managing m365 admin center portal azure subscription, enforcing access control, creating and managing azure resources, azure cost optimization."
Sales - General: Full-time Opportunities for University Grad...,Microsoft,"Bellevue, WA",,"As a Solution Area Specialist, you identify our customers’ challenges and solve them through the latest software and services solutions."
Supply Chain Rotation Program: Full-time Opportunities for U...,Microsoft,"Redmond, WA 98052 (Overlake area)",,"The organization is responsible for planning, delivery and provisioning of all data centers globally powering Microsoft Cloud properties."
Support Engineer - Azure Dev Storage Chat Support,Microsoft,"Issaquah, WA•Remote",,"Support Engineers (SE) serve as frontline technical resources for Microsoft customers and partners via phone, email or web.Ability to deal with ambiguity."
IT Support Specialist,Santé Operations,"Silverdale, WA•Remote","From $50,000 a year","Respond to and monitor service requests within the IT Support ticketing system by providing a positive customer experience over the phone, video conferencing or…"
Sr. Systems/Network Administrator,"Darigold, Inc.","Sunnyside, WA 98944+1 location",,"Consistent with the objective defined in the Darigold Business Systems Plan, the Sr.Systems/Network Administrator will provide support and maintenance of the…"
Windows/Lab Administrator,"AMS DataSerfs, Inc","Redmond, WA 98052 (Overlake area)","$70,000 - $85,000 a year",_You will be working in a team that is responsible for maintaining a development environment for a fortune 50 company consisting of physical and virtual Windows…
IT Support Specialist,Encore Communities,"Silverdale, WA 98383","From $50,000 a year","The overall system responsibilities include desktop, server, and network administration within a Microsoft Windows environment."
IT Analyst for App hosting and Data Center Modernization - A...,Resource Logistic Inc,"Mountlake Terrace, WA",$45 - $50 an hour,* Act as a liaison between customers and technical delivery teams.* Work closely with product and development teams to better define key business needs and…
Entry Level Systems Administrator,The Department of Social and Health Services,"Steilacoom, WA 98388","$5,326 - $6,991 a month","In this role, you'll need to stay informed on computer forensics and multimedia digital evidence technology, and be able to transition forensic examination…"
Social Community Manager - Remote,Designit,Washington State•Remote,,"This world-class social team operates 100+ social media channels and 20+ marketing blogs designed for developers, IT decision makers, IT implementers, and…"
IT Systems Administrator,Sante Operations,Washington State,"From $80,000 a year","The IT Systems Administrator at Sante Operations will be responsible for ensuring the availability, performance and security of the systems utilized by Sante."
Global Customer Experience Specialist,Designit,"Redmond, WA",,Our new Global Customer Experience Specialist will play a role in helping our clients excel.Review and Triage customer and partner escalations via multiple…
Azure Data Engineer,Teamware Solutions,"Redmond, WA•Temporarily Remote",$50 - $70 an hour,Partner with leadership engineers program managers and data scientists to understand data needs.Gathering technical requirement from customer and enable the…
Tier 2 Service Desk Engineer,Nuvodia,Washington State•Remote,,"This is a Full-Time, Regular position working Monday - Friday, 8am-5pm.This position may have the opportunity to start remotely during the current pandemic.*."
Azure Admin,HCL Americas,"Redmond, WA 98052 (Overlake area)•Temporarily Remote",,"Managing m365 admin center portal azure subscription, enforcing access control, creating and managing azure resources, azure cost optimization."
Sales - General: Full-time Opportunities for University Grad...,Microsoft,"Bellevue, WA",,"As a Solution Area Specialist, you identify our customers’ challenges and solve them through the latest software and services solutions."
Supply Chain Rotation Program: Full-time Opportunities for U...,Microsoft,"Redmond, WA 98052 (Overlake area)",,"The organization is responsible for planning, delivery and provisioning of all data centers globally powering Microsoft Cloud properties."
Support Engineer - Azure Dev Storage Chat Support,Microsoft,"Issaquah, WA•Remote",,"Support Engineers (SE) serve as frontline technical resources for Microsoft customers and partners via phone, email or web.Ability to deal with ambiguity."
IT Support Specialist,Santé Operations,"Silverdale, WA•Remote","From $50,000 a year","Respond to and monitor service requests within the IT Support ticketing system by providing a positive customer experience over the phone, video conferencing or…"
Sr. Systems/Network Administrator,"Darigold, Inc.","Sunnyside, WA 98944+1 location",,Darigold is seeking a highly motivated Sr. Systems/Network Administrator (Tier 3) to join our Enterprise IT Operations team.HP/Aruba Switches – Layer 2/3.
Windows/Lab Administrator,"AMS DataSerfs, Inc","Redmond, WA 98052 (Overlake area)","$70,000 - $85,000 a year",_AMS DataSerfs is seeking a talented and motivated individual looking to pursue a career as Windows/Lab System Administrator.MS Certs are a plus.
IT Support Specialist,Encore Communities,"Silverdale, WA 98383","From $50,000 a year",The IT Support Specialist will be responsible for providing support to buildings in Silverdale and Shoreline Washington with some additional duties for…
IT Analyst for App hosting and Data Center Modernization - A...,Resource Logistic Inc,"Mountlake Terrace, WA",$45 - $50 an hour,Experience writing effective stories with well defined acceptance criteria.* Act as a liaison between customers and technical delivery teams.
Entry Level Systems Administrator,The Department of Social and Health Services,"Steilacoom, WA 98388","$5,326 - $6,991 a month","In this role, you'll need to stay informed on computer forensics and multimedia digital evidence technology, and be able to transition forensic examination…"
IT Systems Administrator,Sante Operations,Washington State,"From $80,000 a year","The IT Systems Administrator at Sante Operations will be responsible for ensuring the availability, performance and security of the systems utilized by Sante."
Social Community Manager - Remote,Designit,Washington State•Remote,,"(8am-5pm PST)* Monday-Friday*.Want to be part of an amazing team, hell-bent on crafting a better future?We're always looking for creative people who care!"
Tier 2 Service Desk Engineer,Nuvodia,Washington State•Remote,,"We are looking for a Tier 2 Service Desk Engineer to join our team!This is a Full-Time, Regular position working Monday - Friday, 8am-5pm."
Global Customer Experience Specialist,Designit,"Redmond, WA",,"Global Customer Experience Specialist, North America.Shift: Wednesday - Sunday, 9:00 am - 5:30 pm PST.Qualified candidates must be located in the greater…"
Sales - General: Full-time Opportunities for University Grad...,Microsoft,"Bellevue, WA",,"Every year, we welcome thousands of university graduates from every corner of the world to join Microsoft.At Microsoft, our mission is to empower every person…"
Azure Data Engineer,Teamware Solutions,"Redmond, WA•Temporarily Remote",$50 - $70 an hour,"Top Skills : ADF, ADLS, Power BI and PySpark.Partner with leadership engineers program managers and data scientists to understand data needs."
Azure Admin,HCL Americas,"Redmond, WA 98052 (Overlake area)•Temporarily Remote",,"Managing m365 admin center portal azure subscription, enforcing access control, creating and managing azure resources, azure cost optimization."
Supply Chain Rotation Program: Full-time Opportunities for U...,Microsoft,"Redmond, WA 98052 (Overlake area)",,"Every year, we welcome thousands of university graduates from every corner of the world to join Microsoft.At Microsoft, our mission is to empower every person…"
Support Engineer - Azure Dev Storage Chat Support,Microsoft,"Issaquah, WA+10 locations•Remote",,"Microsoft is on a mission to empower every person and every organization on the planet to achieve more.Our culture is centered on embracing a growth mindset, a…"
IT Support Specialist,Santé Operations,"Silverdale, WA•Remote","From $50,000 a year","Respond to and monitor service requests within the IT Support ticketing system by providing a positive customer experience over the phone, video conferencing or…"
Sr. Systems/Network Administrator,"Darigold, Inc.","Sunnyside, WA 98944+1 location",,"Consistent with the objective defined in the Darigold Business Systems Plan, the Sr.Systems/Network Administrator will provide support and maintenance of the…"
Windows/Lab Administrator,"AMS DataSerfs, Inc","Redmond, WA 98052 (Overlake area)","$70,000 - $85,000 a year",_You will be working in a team that is responsible for maintaining a development environment for a fortune 50 company consisting of physical and virtual Windows…
IT Support Specialist,Encore Communities,"Silverdale, WA 98383","From $50,000 a year","The overall system responsibilities include desktop, server, and network administration within a Microsoft Windows environment."
IT Analyst for App hosting and Data Center Modernization - A...,Resource Logistic Inc,"Mountlake Terrace, WA",$45 - $50 an hour,* Act as a liaison between customers and technical delivery teams.* Work closely with product and development teams to better define key business needs and…
IT Systems Administrator,Sante Operations,Washington State,"From $80,000 a year","The IT Systems Administrator at Sante Operations will be responsible for ensuring the availability, performance and security of the systems utilized by Sante."
Entry Level Systems Administrator,The Department of Social and Health Services,"Steilacoom, WA 98388","$5,326 - $6,991 a month","In this role, you'll need to stay informed on computer forensics and multimedia digital evidence technology, and be able to transition forensic examination…"
Tier 2 Service Desk Engineer,Nuvodia,Washington State•Remote,,"This is a Full-Time, Regular position working Monday - Friday, 8am-5pm.This position may have the opportunity to start remotely during the current pandemic.*."
Social Community Manager - Remote,Designit,Washington State•Remote,,"This world-class social team operates 100+ social media channels and 20+ marketing blogs designed for developers, IT decision makers, IT implementers, and…"
Global Customer Experience Specialist,Designit,"Redmond, WA",,Our new Global Customer Experience Specialist will play a role in helping our clients excel.Review and Triage customer and partner escalations via multiple…
Azure Data Engineer,Teamware Solutions,"Redmond, WA•Temporarily Remote",$50 - $70 an hour,Partner with leadership engineers program managers and data scientists to understand data needs.Gathering technical requirement from customer and enable the…
Azure Admin,HCL Americas,"Redmond, WA 98052 (Overlake area)•Temporarily Remote",,"Managing m365 admin center portal azure subscription, enforcing access control, creating and managing azure resources, azure cost optimization."
Sales - General: Full-time Opportunities for University Grad...,Microsoft,"Bellevue, WA",,"As a Solution Area Specialist, you identify our customers’ challenges and solve them through the latest software and services solutions."
Supply Chain Rotation Program: Full-time Opportunities for U...,Microsoft,"Redmond, WA 98052 (Overlake area)",,"The organization is responsible for planning, delivery and provisioning of all data centers globally powering Microsoft Cloud properties."
Support Engineer - Azure Dev Storage Chat Support,Microsoft,"Issaquah, WA•Remote",,"Support Engineers (SE) serve as frontline technical resources for Microsoft customers and partners via phone, email or web.Ability to deal with ambiguity."
Data Engineer,Trovata,"Olympia, WA•Remote",,Experience with unconventional data types as well as unstructured data is a plus.We’re pioneering open banking (direct APIs) for mid-market and enterprise…
Frontend Engineer - Marketplace Intelligence and Data,Uber,"Seattle, WA 98101 (Downtown area)",,"You will directly impact the day-to-day work of tens of thousands of internal users such as operation managers, customer support agents, data scientists,…"
Staff Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA•Remote","$132,000 - $192,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
Senior Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA","$109,000 - $159,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
"Operations Engineer, Data (Remote)",Oscar Health,Washington State•Remote,,"3+ years experience in coding or data software experience.An academic and professional background in coding, math, statistics, or data science."
Data Engineer I - Annotation Coordinator,Ursus,"Redmond, WA 98052",,"Demonstrated proficiency in data engineering, with experience working with machine learning data labeling pipelines."
Big Data Software Engineer,Zillow,Washington State•Remote,"$129,400 - $206,600 a year","Collaborate with Product managers, engineers, data scientists, and analysts on mission-critical property data needs to build world-class datasets."
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Quality Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,They are responsible for decomposing the functional and technical requirements created by Product Owners into test scripts.Exposure to the retail industry.
Data Engineer I,Belcan,"Seattle, WA",,A good candidate has strong analytical skills and enjoys working with large complex data sets.You will be developing and supporting the analytic technologies…
Senior Data Engineer - Remote,Toptal,"Seattle, WA 98101 (Downtown area)•Remote","$50,000 - $300,000 a year","Design your full-time freelance career as a top freelance data engineer with Toptal.Plus, Toptal takes care of all the overhead, empowering you to focus on…"
Data Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,"Works in tandem with data architects and data/BI engineers to design data pipelines and recommends ongoing optimization of data storage, data ingestion, data…"
Data Engineer,Common Room Job Posts,Washington State•Remote,,"You own Common Room's data infrastructure (data warehouse, ETL pipeline, event data management, data model development and deployment, etc) that enables us to…"
Data Engineer,Trovata,"Olympia, WA•Remote",,Experience with unconventional data types as well as unstructured data is a plus.We’re pioneering open banking (direct APIs) for mid-market and enterprise…
Frontend Engineer - Marketplace Intelligence and Data,Uber,"Seattle, WA 98101 (Downtown area)",,"You will directly impact the day-to-day work of tens of thousands of internal users such as operation managers, customer support agents, data scientists,…"
Staff Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA•Remote","$132,000 - $192,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
Senior Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA","$109,000 - $159,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
"Operations Engineer, Data (Remote)",Oscar Health,Washington State•Remote,,"3+ years experience in coding or data software experience.An academic and professional background in coding, math, statistics, or data science."
Big Data Software Engineer,Zillow,Washington State•Remote,"$129,400 - $206,600 a year","Collaborate with Product managers, engineers, data scientists, and analysts on mission-critical property data needs to build world-class datasets."
Data Engineer I - Annotation Coordinator,Ursus,"Redmond, WA 98052",,"Demonstrated proficiency in data engineering, with experience working with machine learning data labeling pipelines."
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Quality Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,They are responsible for decomposing the functional and technical requirements created by Product Owners into test scripts.Exposure to the retail industry.
Data Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,"Works in tandem with data architects and data/BI engineers to design data pipelines and recommends ongoing optimization of data storage, data ingestion, data…"
Data Engineer,Common Room Job Posts,Washington State•Remote,,"You own Common Room's data infrastructure (data warehouse, ETL pipeline, event data management, data model development and deployment, etc) that enables us to…"
Data Engineer,Slalom Consulting,"Seattle, WA•Temporarily Remote","$100,000 - $150,000 a year","4+ years of data engineering and/or data warehousing experience.Use common data architecture practices to architect, design, and develop data/analytic…"
Support Engineer - Big Data,Microsoft,"Issaquah, WA",,"Contribute to case deflection initiatives, automation and other digital self-help assets to improve customer and engineer experience."
Data Engineer,Trovata,"Olympia, WA•Remote",,Experience with unconventional data types as well as unstructured data is a plus.We’re pioneering open banking (direct APIs) for mid-market and enterprise…
Frontend Engineer - Marketplace Intelligence and Data,Uber,"Seattle, WA 98101 (Downtown area)",,"You will directly impact the day-to-day work of tens of thousands of internal users such as operation managers, customer support agents, data scientists,…"
Staff Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA•Remote","$132,000 - $192,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
Senior Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA","$109,000 - $159,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
"Operations Engineer, Data (Remote)",Oscar Health,Washington State•Remote,,"3+ years experience in coding or data software experience.An academic and professional background in coding, math, statistics, or data science."
Big Data Software Engineer,Zillow,Washington State•Remote,"$129,400 - $206,600 a year","Collaborate with Product managers, engineers, data scientists, and analysts on mission-critical property data needs to build world-class datasets."
Data Engineer I - Annotation Coordinator,Ursus,"Redmond, WA 98052",,"Demonstrated proficiency in data engineering, with experience working with machine learning data labeling pipelines."
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Quality Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,They are responsible for decomposing the functional and technical requirements created by Product Owners into test scripts.Exposure to the retail industry.
Data Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,"Works in tandem with data architects and data/BI engineers to design data pipelines and recommends ongoing optimization of data storage, data ingestion, data…"
Data Engineer,Common Room Job Posts,Washington State•Remote,,"You own Common Room's data infrastructure (data warehouse, ETL pipeline, event data management, data model development and deployment, etc) that enables us to…"
Data Engineer,Slalom Consulting,"Seattle, WA•Temporarily Remote","$100,000 - $150,000 a year","4+ years of data engineering and/or data warehousing experience.Use common data architecture practices to architect, design, and develop data/analytic…"
Support Engineer - Big Data,Microsoft,"Issaquah, WA",,"Contribute to case deflection initiatives, automation and other digital self-help assets to improve customer and engineer experience."
Data Engineer,Trovata,"Olympia, WA•Remote",,Experience with unconventional data types as well as unstructured data is a plus.We’re pioneering open banking (direct APIs) for mid-market and enterprise…
Frontend Engineer - Marketplace Intelligence and Data,Uber,"Seattle, WA 98101 (Downtown area)",,"You will directly impact the day-to-day work of tens of thousands of internal users such as operation managers, customer support agents, data scientists,…"
Staff Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA•Remote","$132,000 - $192,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
Senior Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA","$109,000 - $159,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
"Operations Engineer, Data (Remote)",Oscar Health,Washington State•Remote,,"3+ years experience in coding or data software experience.An academic and professional background in coding, math, statistics, or data science."
Data Engineer I - Annotation Coordinator,Ursus,"Redmond, WA 98052",,"Demonstrated proficiency in data engineering, with experience working with machine learning data labeling pipelines."
Big Data Software Engineer,Zillow,Washington State•Remote,"$129,400 - $206,600 a year","Collaborate with Product managers, engineers, data scientists, and analysts on mission-critical property data needs to build world-class datasets."
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Quality Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,They are responsible for decomposing the functional and technical requirements created by Product Owners into test scripts.Exposure to the retail industry.
Data Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,"Works in tandem with data architects and data/BI engineers to design data pipelines and recommends ongoing optimization of data storage, data ingestion, data…"
Data Engineer,Common Room Job Posts,Washington State•Remote,,"You own Common Room's data infrastructure (data warehouse, ETL pipeline, event data management, data model development and deployment, etc) that enables us to…"
Data Engineer,Slalom Consulting,"Seattle, WA•Temporarily Remote","$100,000 - $150,000 a year","4+ years of data engineering and/or data warehousing experience.Use common data architecture practices to architect, design, and develop data/analytic…"
Support Engineer - Big Data,Microsoft,"Issaquah, WA",,"Contribute to case deflection initiatives, automation and other digital self-help assets to improve customer and engineer experience."
Data Engineer,Trovata,"Olympia, WA•Remote",,Experience with unconventional data types as well as unstructured data is a plus.We’re pioneering open banking (direct APIs) for mid-market and enterprise…
Frontend Engineer - Marketplace Intelligence and Data,Uber,"Seattle, WA 98101 (Downtown area)",,"You will directly impact the day-to-day work of tens of thousands of internal users such as operation managers, customer support agents, data scientists,…"
Staff Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA•Remote","$132,000 - $192,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
Senior Site Reliability Engineer - Data Platform,Indeed,"Seattle, WA","$109,000 - $159,000 a year","We work closely with software developers and system engineers to drive adoption of modern reliability practices like SLOs, error budget policies, actionable…"
"Operations Engineer, Data (Remote)",Oscar Health,Washington State•Remote,,"3+ years experience in coding or data software experience.An academic and professional background in coding, math, statistics, or data science."
Big Data Software Engineer,Zillow,Washington State•Remote,"$129,400 - $206,600 a year","Collaborate with Product managers, engineers, data scientists, and analysts on mission-critical property data needs to build world-class datasets."
Data Engineer I - Annotation Coordinator,Ursus,"Redmond, WA 98052",,"Demonstrated proficiency in data engineering, with experience working with machine learning data labeling pipelines."
Data Science Engineer,Salesforce,"Seattle, WA+1 location","$82,400 a year",Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
Quality Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,They are responsible for decomposing the functional and technical requirements created by Product Owners into test scripts.Exposure to the retail industry.
Data Engineer - Data Analytics,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)",,"Works in tandem with data architects and data/BI engineers to design data pipelines and recommends ongoing optimization of data storage, data ingestion, data…"
Data Engineer,Common Room Job Posts,Washington State•Remote,,"You own Common Room's data infrastructure (data warehouse, ETL pipeline, event data management, data model development and deployment, etc) that enables us to…"
Data Engineer,Slalom Consulting,"Seattle, WA•Temporarily Remote","$100,000 - $150,000 a year","4+ years of data engineering and/or data warehousing experience.Use common data architecture practices to architect, design, and develop data/analytic…"
Support Engineer - Big Data,Microsoft,"Issaquah, WA",,"Contribute to case deflection initiatives, automation and other digital self-help assets to improve customer and engineer experience."
Data Engineer,Trovata,"Olympia, WA•Remote",,Experience with unconventional data types as well as unstructured data is a plus.We’re pioneering open banking (direct APIs) for mid-market and enterprise…
Frontend Engineer - Marketplace Intelligence and Data,Uber,"Seattle, WA 98101 (Downtown area)",,"You will directly impact the day-to-day work of tens of thousands of internal users such as operation managers, customer support agents, data scientists,…"
